line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,5000,8167,00:00:05:00,"George, wake up.",ジョージ 起きなさい,"George, despierta.","George, acorda.","George, bangun.","조지, 일어나.","George, uyan."
L002,S002,8167,12167,00:00:08:05,Wake up now. You have work today.,早く起きなさい 今日はバイトでしょ,Despierta ya. Hoy trabajas.,Acorda logo. Você trabalha hoje.,Cepat bangun. Hari ini kamu kerja.,빨리 일어나. 오늘 알바 있잖아.,Hemen uyan. Bugün işin var.
L003,S003,12167,14933,00:00:12:05,"No, I don’t.",違う,"No, no trabajo.","Não, eu não trabalho.","Nggak, aku nggak kerja.","아니, 없어.","Hayır, yok."
L004,S004,14933,19400,00:00:14:28,"Yes, you do. You said it starts at nine.",違わないでしょ 9時からって言ってたじゃない,"Sí, sí trabajas. Dijiste que empieza a las nueve.",Trabalha sim. Você disse que começa às nove.,"Iya, kerja. Kamu bilang mulainya jam sembilan.",아니긴 뭐가 아니야. 9시부터라고 했잖아.,Var tabii. Saat dokuzda başladığını söylemiştin.
L005,S005,19400,21900,00:00:19:12,Today is different.,今日は違う,Hoy es diferente.,Hoje é diferente.,Hari ini beda.,오늘은 달라.,Bugün farklı.
L006,S006,21900,24033,00:00:21:27,What is different?,何が違うのよ,¿Qué es diferente?,O que é diferente?,Apa yang beda?,뭐가 다른데?,Ne farklı?
L007,S007,24033,27000,00:00:24:01,Today is my day off.,今日は休みの日,Hoy es mi día libre.,Hoje é meu dia de folga.,Hari ini hari liburku.,오늘은 쉬는 날이야.,Bugün benim izin günüm.
L008,S008,27000,30167,00:00:27:00,"Yesterday was your day off, too.",昨日も休みだったでしょ,Ayer también fue tu día libre.,Ontem também foi seu dia de folga.,Kemarin juga hari liburmu.,어제도 쉬는 날이었잖아.,Dün de izin günündü.
L009,S009,30167,33500,00:00:30:05,Yesterday was yesterday.,昨日は昨日の休み,Ayer fue el día libre de ayer.,Ontem foi a folga de ontem.,Kemarin itu libur yang kemarin.,어제는 어제의 휴일이야.,"Dün, dündü."
L010,S010,33500,37800,00:00:33:15,Just wake up. You’re going to be late.,いいから起きなさい 遅れるわよ,Solo despierta. Vas a llegar tarde.,Só levanta. Você vai se atrasar.,Pokoknya bangun. Kamu bakal telat.,됐고 일어나. 늦겠어.,Hadi artık uyan. Geç kalacaksın.
L011,S011,37800,40300,00:00:37:24,I’m not late.,遅れてない,No voy tarde.,Não estou atrasado.,Aku tidak telat.,안 늦었어.,Geç kalmadım.
L012,S012,40300,42567,00:00:40:09,You’re about to be late.,もう遅れそうなの,Estás a punto de llegar tarde.,Você está quase se atrasando.,Kamu sudah mau telat.,이제 곧 늦게 생겼어.,Geç kalmak üzeresin.
L013,S013,42567,45867,00:00:42:17,It shouldn’t be morning already.,もう朝になる世界がおかしいんだ,El problema es que ya sea de mañana.,O estranho é já ser de manhã.,Yang aneh itu dunia sudah jadi pagi.,벌써 아침이 되는 세상이 이상한 거야.,"Asıl garip olan, çoktan sabah olmuş olması."
L014,S014,45867,48600,00:00:45:26,You’re the one who’s wrong.,おかしいのはあんたよ,El que está mal eres tú.,Quem está errado é você.,Yang aneh itu kamu.,이상한 건 너야.,Garip olan sensin.
L015,S015,48600,51000,00:00:48:18,Let me sleep a little longer.,もうちょっと寝る,Déjame dormir un poco más.,Me deixa dormir mais um pouco.,Biar aku tidur sedikit lagi.,조금만 더 잘래.,Biraz daha uyumama izin ver.
L016,S016,51000,54233,00:00:51:00,You slept for eleven hours.,11時間寝たでしょ,Dormiste once horas.,Você dormiu onze horas.,Kamu tidur sebelas jam.,열한 시간 잤잖아.,On bir saat uyudun.
L017,S017,54233,57000,00:00:54:07,I need one more hour.,あと1時間必要,Necesito una hora más.,Eu preciso de mais uma hora.,Aku butuh satu jam lagi.,한 시간만 더 필요해.,Bir saat daha lazım.
