line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,0,4200,00:00:00:00,"Deep in the forest, there was a small spring.",深い森の中に小さな泉がありました,"En lo profundo del bosque, había un pequeño manantial.","No fundo da floresta, havia uma pequena fonte.","Jauh di dalam hutan, ada sebuah mata air kecil.",깊은 숲속에 작은 샘이 있었습니다.,Ormanın derinliklerinde küçük bir pınar vardı.
L002,S002,4200,9333,00:00:04:06,"Beside the spring, a young woodcutter was cutting a tree.",泉のそばで若い木こりが木を切っていました,"Junto al manantial, un joven leñador estaba cortando un árbol.","Ao lado da fonte, um jovem lenhador estava cortando uma árvore.","Di dekat mata air itu, seorang penebang kayu muda sedang menebang pohon.",샘가에서 젊은 나무꾼이 나무를 자르고 있었습니다.,Pınarın yanında genç bir oduncu bir ağaç kesiyordu.
L003,S003,9333,12100,00:00:09:10,He was a serious man.,木こりはまじめな男でした,Era un hombre serio.,Ele era um homem sério.,Ia adalah pria yang sungguh-sungguh.,나무꾼은 성실한 사람이었습니다.,O ciddi bir adamdı.
L004,S004,12100,14833,00:00:12:03,He worked all morning.,朝から休まず働いていました,Trabajó toda la mañana.,Ele trabalhou a manhã toda.,Ia bekerja sepanjang pagi.,그는 아침 내내 쉬지 않고 일했습니다.,Sabah boyunca durmadan çalıştı.
L005,S005,14833,18867,00:00:14:25,He took good care of his old iron axe.,古い鉄の斧を大切に使っていました,Cuidaba muy bien su vieja hacha de hierro.,Ele cuidava bem do seu velho machado de ferro.,Ia merawat kapak besi tuanya dengan baik.,그는 오래된 쇠도끼를 소중히 사용하고 있었습니다.,Eski demir baltasına iyi bakıyordu.
L006,S006,18867,21967,00:00:18:26,Good. Just a little more.,よし あと少しだ,Bien. Solo un poco más.,Certo. Só mais um pouco.,Bagus. Tinggal sedikit lagi.,좋아. 이제 조금만 더.,Güzel. Biraz daha.
L007,S007,21967,25000,00:00:21:29,Then he lifted his axe high.,木こりは斧を大きく振り上げました,Entonces levantó su hacha muy alto.,Então ele ergueu bem alto o seu machado.,Lalu ia mengangkat kapaknya tinggi-tinggi.,그러고는 도끼를 높이 들어 올렸습니다.,Sonra baltasını yükseğe kaldırdı.
L008,S008,25000,27733,00:00:25:00,But his hand slipped.,しかし手がすべりました,Pero su mano resbaló.,Mas sua mão escorregou.,Tetapi tangannya terpeleset.,하지만 손이 미끄러졌습니다.,Ama eli kaydı.
L009,S009,27733,31267,00:00:27:22,The axe flew toward the spring.,斧は泉の方へ飛んでいきました,El hacha salió volando hacia el manantial.,O machado voou em direção à fonte.,Kapak itu terbang ke arah mata air.,도끼는 샘 쪽으로 날아갔습니다.,Balta pınara doğru fırladı.
L010,S010,31267,35133,00:00:31:08,It fell into the water with a splash.,斧は水しぶきを上げて泉に落ちました,Cayó al agua con un chapoteo.,Ele caiu na água com um grande respingo.,Kapak itu jatuh ke dalam air dengan suara cipratan.,도끼는 물보라를 일으키며 샘에 떨어졌습니다.,Suya şap diye düştü.
L011,S011,35133,39100,00:00:35:04,The old iron axe sank into the spring.,古い鉄の斧は泉の中へ沈んでいきました,La vieja hacha de hierro se hundió en el manantial.,O velho machado de ferro afundou na fonte.,Kapak besi tua itu tenggelam ke dalam mata air.,오래된 쇠도끼는 샘 속으로 가라앉았습니다.,Eski demir balta pınarın içine battı.
L012,S012,39100,41933,00:00:39:03,Oh no!,しまった！,"¡Oh, no!","Ah, não!",Oh tidak!,아차!,Eyvah!
L013,S013,41933,46133,00:00:41:28,The woodcutter ran to the edge of the spring.,木こりは泉のふちまで走りました,El leñador corrió hasta el borde del manantial.,O lenhador correu até a beira da fonte.,Penebang kayu itu berlari ke tepi mata air.,나무꾼은 샘 가장자리까지 달려갔습니다.,Oduncu pınarın kenarına koştu.
L014,S014,46133,49567,00:00:46:04,But he could not see his axe anymore.,しかし斧はもう見えません,Pero ya no podía ver su hacha.,Mas ele já não conseguia ver seu machado.,Tetapi ia sudah tidak bisa melihat kapaknya lagi.,하지만 도끼는 더 이상 보이지 않았습니다.,Ama artık baltasını göremiyordu.
L015,S015,49567,52067,00:00:49:17,What should I do?,どうしよう,¿Qué debo hacer?,O que eu devo fazer?,Apa yang harus kulakukan?,어떡하지?,Ne yapmalıyım?
L016,S016,52067,55800,00:00:52:02,I cannot work without that axe.,この斧がないと仕事ができない,No puedo trabajar sin esa hacha.,Não posso trabalhar sem esse machado.,Aku tidak bisa bekerja tanpa kapak itu.,이 도끼가 없으면 일을 할 수 없어.,O balta olmadan çalışamam.
L017,S017,55800,59800,00:00:55:24,The woodcutter sat down in front of the spring.,木こりは泉の前に座り込みました,El leñador se sentó frente al manantial.,O lenhador se sentou diante da fonte.,Penebang kayu itu duduk di depan mata air.,나무꾼은 샘 앞에 털썩 주저앉았습니다.,Oduncu pınarın önüne oturdu.
