line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,4000,7967,00:00:04:00,Welcome. How many people?,いらっしゃいませ。何名ですか？,Bienvenido. ¿Cuántas personas?,Bem-vindo. Quantas pessoas?,Selamat datang. Berapa orang?,어서 오세요. 몇 분이세요?,Hoş geldiniz. Kaç kişisiniz?
L002,S002,7967,11567,00:00:07:29,One. Can't you tell?,一人だ。見たらわかるだろ。,Una. ¿No te das cuenta?,Uma. Não dá pra ver?,Satu. Memangnya tidak kelihatan?,한 명이다. 보면 모르겠냐?,Bir kişi. Görmüyor musun?
L003,S003,11567,14433,00:00:11:17,Are you making fun of me?,バカにしているのか？,¿Te estás burlando de mí?,Está tirando sarro da minha cara?,Kau mengejekku?,지금 나 놀리는 거냐?,Benimle dalga mı geçiyorsun?
L004,S004,14433,19600,00:00:14:13,No. Please take any open seat.,いいえ、空いている席にどうぞ。,"No. Por favor, tome cualquier asiento libre.","Não. Por favor, sente-se em qualquer mesa livre.",Tidak. Silakan duduk di kursi kosong mana saja.,아닙니다. 비어 있는 자리에 앉아 주세요.,Hayır. Lütfen boş olan herhangi bir yere oturun.
L005,S005,19600,22433,00:00:19:18,Everything looks good.,どれも美味しそうだな。,Todo se ve delicioso.,Tudo parece bom.,Semuanya kelihatan enak.,다 맛있어 보이네.,Hepsi güzel görünüyor.
L006,S006,22433,27367,00:00:22:13,Ramen or hamburg steak... which one?,ラーメンとハンバーグどっちにしようかな。,Ramen o hamburguesa... ¿cuál será?,Ramen ou hambúrguer... qual?,"Ramen atau hamburger steak... yang mana, ya?",라멘이냐 함박스테이크냐... 뭘로 하지?,Ramen mi yoksa hamburger biftek mi... hangisini seçsem?
L007,S007,27367,29333,00:00:27:11,Hey.,おい。,Oye.,Ei.,Hei.,야.,Hey.
L008,S008,29333,33300,00:00:29:10,Yes. Are you ready to order?,はい、ご注文はお決まりですか？,Sí. ¿Ya está listo para ordenar?,Sim. Já decidiu o seu pedido?,Ya. Apakah Anda sudah siap memesan?,네. 주문하시겠어요?,Evet. Sipariş vermeye hazır mısınız?
L009,S009,33300,36567,00:00:33:09,The hamburg steak set.,ハンバーグセットだ。,El menú de hamburguesa.,O combo de hambúrguer.,Paket hamburger steak.,함박스테이크 세트.,Hamburger biftek seti.
L010,S010,36567,40500,00:00:36:17,The hamburg steak set. Is that correct?,ハンバーグセットでよろしいですね？,El menú de hamburguesa. ¿Es correcto?,O combo de hambúrguer. Está correto?,Paket hamburger steak. Benar begitu?,함박스테이크 세트 맞으시죠?,Hamburger biftek seti. Doğru mu?
L011,S011,40500,43567,00:00:40:15,Yeah. That's fine.,ああ、それでいい。,Sí. Está bien.,É. Está bom.,Ya. Itu saja.,그래. 그걸로 해.,Evet. O olur.
L012,S012,43567,45167,00:00:43:17,Certainly.,かしこまりました。,Claro.,Certamente.,Baik.,알겠습니다.,Elbette.
L013,S013,45167,49300,00:00:45:05,We charge extra for leftovers.,当店では食べ残した場合追加料金をいただいております。,Cobramos un cargo extra por las sobras.,Cobramos uma taxa extra por sobras.,Kami mengenakan biaya tambahan untuk makanan yang tersisa.,저희는 음식을 남기시면 추가 요금을 받고 있습니다.,Artan yemekler için ek ücret alıyoruz.
L014,S014,49300,52667,00:00:49:09,What? What's that?,は？なんだそれ。,¿Qué? ¿Qué es eso?,O quê? Que papo é esse?,Apa? Maksudnya apa itu?,뭐? 그게 무슨 소리야?,Ne? O da ne?
L015,S015,52667,56800,00:00:52:20,It is our rule to prevent food waste.,食べ物を無駄にしないためのルールです。,Es nuestra regla para evitar desperdiciar comida.,É a nossa regra para evitar desperdício de comida.,Itu adalah aturan kami untuk mencegah pemborosan makanan.,음식 낭비를 막기 위한 저희 가게 규칙입니다.,"Bu, yemek israfını önlemek için koyduğumuz bir kural."
L016,S016,56800,61133,00:00:56:24,I won't leave anything. No problem.,別に残さない。問題ないだろ。,No voy a dejar nada. No hay problema.,Não vou deixar nada. Sem problema.,"Aku tidak akan menyisakan apa pun. Tidak masalah, kan.",안 남길 거야. 문제 없잖아.,Hiçbir şey bırakmam. Sorun yok.
L017,S017,61133,63433,00:01:01:04,Understood.,承知しました。,Entendido.,Entendido.,Baik.,알겠습니다.,Anlaşıldı.
L018,S018,63433,69200,00:01:03:13,Hurry up and bring it.,早く持ってこい。,Date prisa y tráelo.,Anda logo e traga.,Cepat bawa ke sini.,빨리 가져와.,Çabuk ol ve getir.
L019,S019,69200,72567,00:01:09:06,Here is your hamburg steak set.,ハンバーグセットでございます。,Aquí tiene su menú de hamburguesa.,Aqui está o seu combo de hambúrguer.,Ini paket hamburger steak Anda.,함박스테이크 세트 나왔습니다.,Hamburger biftek setiniz burada.
L020,S020,72567,74900,00:01:12:17,What is this?,なんだこれ。,¿Qué es esto?,O que é isso?,Apa ini?,이게 뭐야?,Bu da ne?
L021,S021,74900,78367,00:01:14:27,Your hamburg steak set.,ハンバーグセットでございます。,Su menú de hamburguesa.,O seu combo de hambúrguer.,Paket hamburger steak Anda.,함박스테이크 세트입니다.,Hamburger biftek setiniz.
L022,S022,78367,81967,00:01:18:11,No. That's wrong.,いや、違うだろ。,No. Está mal.,Não. Está errado.,Tidak. Itu salah.,"아니, 이거 아니잖아.",Hayır. Bu yanlış.
