line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,5000,7233,00:00:05:00,"Hey, you.",おい、お前,"Oye, tú.","Ei, você.","Hei, kamu.","야, 너.","Hey, sen."
L002,S002,7233,9200,00:00:07:07,Yes?,はい？,¿Sí?,Sim?,Ya?,네?,Evet?
L003,S003,9200,12333,00:00:09:06,I need to ask you something.,聞きたいことがある,Quiero preguntarte algo.,Quero te perguntar uma coisa.,Aku mau tanya sesuatu.,물어볼 게 있다.,Sana soracak bir şeyim var.
L004,S004,12333,14567,00:00:12:10,What is it?,どうされましたか？,¿Qué pasa?,O que foi?,Ada apa?,무슨 일이시죠?,Nedir?
L005,S005,14567,17933,00:00:14:17,There are too many trains here.,この駅は電車が多すぎる,Hay demasiados trenes aquí.,Tem trem demais nesta estação.,Terlalu banyak kereta di stasiun ini.,이 역엔 전철이 너무 많다.,Bu istasyonda çok fazla tren var.
L006,S006,17933,21067,00:00:17:28,Which one should I take?,どれに乗ればいいんだ,¿Cuál debo tomar?,Qual deles eu pego?,Aku harus naik yang mana?,난 뭘 타야 하지?,Hangisine binmeliyim?
L007,S007,21067,23633,00:00:21:02,Where are you going?,どちらに行かれますか？,¿A dónde va?,Para onde o senhor vai?,Anda mau pergi ke mana?,어디로 가시나요?,Nereye gidiyorsunuz?
L008,S008,23633,27667,00:00:23:19,"Huh? I am going home, obviously.",は？家に帰るに決まってるだろ,"¿Eh? Voy a casa, obviamente.","Hã? Vou para casa, é óbvio.",Hah? Tentu saja aku mau pulang.,뭐? 당연히 집에 가는 거지.,Ha? Tabii ki eve gidiyorum.
L009,S009,27667,30733,00:00:27:20,Which station is closest?,最寄り駅はどちらですか？,¿Cuál es la estación más cercana?,Qual é a estação mais próxima?,Stasiun yang paling dekat yang mana?,가장 가까운 역이 어디죠?,En yakın istasyon hangisi?
L010,S010,30733,34667,00:00:30:22,Closest station? Closest to what?,最寄り駅？何の最寄り駅だ？,¿La estación más cercana? ¿La más cercana a qué?,Estação mais próxima? Mais próxima de quê?,Stasiun paling dekat? Paling dekat dengan apa?,가장 가까운 역? 뭐에 가장 가깝다는 거야?,En yakın istasyon mu? Neye en yakın?
L011,S011,34667,38200,00:00:34:20,The station closest to your home.,ご自宅の最寄り駅です,La estación más cercana a su casa.,A estação mais próxima da sua casa.,Stasiun yang paling dekat dengan rumah Anda.,댁에서 가장 가까운 역입니다.,Evinize en yakın istasyon.
L012,S012,38200,40833,00:00:38:06,I do not know.,わからん,No lo sé.,Não sei.,Aku tidak tahu.,모른다.,Bilmiyorum.
L013,S013,40833,45367,00:00:40:25,Do you remember which train you took to get here?,どの電車に乗ってきたか覚えていませんか？,¿Recuerda qué tren tomó para llegar aquí?,O senhor se lembra de qual trem pegou para chegar aqui?,Apa Anda ingat naik kereta yang mana untuk sampai ke sini?,여기 오실 때 어떤 전철을 타셨는지 기억하시나요?,Buraya gelmek için hangi trene bindiğinizi hatırlıyor musunuz?
L014,S014,45367,49633,00:00:45:11,"If I remembered that, I would not be asking.",覚えていたら聞いていない,"Si lo recordara, no estaría preguntando.","Se eu lembrasse, não estaria perguntando.","Kalau aku ingat, aku tidak akan tanya.",그걸 기억했으면 안 물어봤지.,Hatırlasaydım sormazdım.
L015,S015,49633,52800,00:00:49:19,Then do you know your home address?,では、家の住所は分かりますか？,"Entonces, ¿sabe la dirección de su casa?",Então o senhor sabe o endereço da sua casa?,"Kalau begitu, apa Anda tahu alamat rumah Anda?",그럼 집 주소는 아시나요?,"Peki, ev adresinizi biliyor musunuz?"
