line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,2567,5133,00:00:02:17,Where is the bus?,バスはどこだ,Otobüs nerede?,Onde está o ônibus?,Busnya di mana?,버스는 어디 있지?,Otobüs nerede?
L002,S002,5133,9000,00:00:05:04,The bus isn't coming at all.,全然来ない,Otobüs hiç gelmiyor.,O ônibus não vem de jeito nenhum.,Busnya sama sekali tidak datang.,버스가 전혀 안 오잖아.,Otobüs hiç gelmiyor.
L003,S003,9000,11533,00:00:09:00,"Come on, come on.",早く来い 早く来い,"Hadi ama, hadi ama.","Anda logo, anda logo.","Cepat datang, cepat datang.","빨리 와, 빨리 와.","Hadi ama, hadi ama."
L004,S004,11533,15900,00:00:11:16,Today is my first shift at my part-time job.,今日は俺のアルバイト初出勤なんだ,Bugün yarı zamanlı işimdeki ilk vardiyam.,Hoje é meu primeiro turno no trabalho de meio período.,Hari ini hari pertama aku masuk kerja paruh waktu.,오늘은 내 알바 첫 출근이란 말이야.,Bugün yarı zamanlı işimdeki ilk vardiyam.
L005,S005,15900,18300,00:00:15:27,I can't be late.,遅刻するわけにはいかない,Geç kalamam.,Eu não posso me atrasar.,Aku tidak boleh terlambat.,지각하면 안 돼.,Geç kalamam.
L006,S006,18300,22100,00:00:18:09,"If I'm late, it's not my fault.",もし遅刻しても俺のせいじゃない,Geç kalırsam bu benim suçum değil.,"Se eu me atrasar, a culpa não é minha.","Kalau aku terlambat, itu bukan salahku.",내가 늦어도 그건 내 잘못이 아니야.,Geç kalırsam bu benim suçum değil.
L007,S007,22100,28000,00:00:22:03,It's the bus's fault.,バスのせいだ,Otobüsün suçu.,A culpa é do ônibus.,Itu salah busnya.,버스 잘못이지.,Otobüsün suçu.
L008,S008,28000,32667,00:00:28:00,Finally. The bus is here.,やっと来た,Nihayet. Otobüs geldi.,Finalmente. O ônibus chegou.,Akhirnya. Busnya datang juga.,드디어. 버스가 왔다.,Nihayet. Otobüs geldi.
L009,S009,32667,35800,00:00:32:20,How long did you make me wait?,どれだけ俺を待たせるんだ,Beni ne kadar beklettin?,Quanto tempo você me fez esperar?,Sudah berapa lama kamu membuatku menunggu?,얼마나 오래 기다리게 한 거야?,Beni ne kadar beklettin?
L010,S010,35800,40867,00:00:35:24,"Hey, you're late! How long did you make me wait?",おい遅いぞ 何分待たせるんだ,"Hey, geç kaldın! Beni ne kadar beklettin?","Ei, você está atrasado! Quanto tempo me fez esperar?","Hei, kamu telat! Berapa lama kamu membuatku menunggu?","야, 너무 늦잖아! 몇 분이나 기다리게 한 거야?","Hey, geç kaldın! Beni ne kadar beklettin?"
L011,S011,40867,44400,00:00:40:26,"The bus is right on time, sir.",バスは時間通りです,"Otobüs tam vaktinde geldi, beyefendi.","O ônibus está exatamente no horário, senhor.","Bus ini tepat waktu, Pak.","버스는 정시에 도착했습니다, 손님.","Otobüs tam vaktinde geldi, beyefendi."
L012,S012,44400,46767,00:00:44:12,Shut up.,うるさい,Kes sesini.,Cala a boca.,Diam.,시끄러워.,Kes sesini.
L013,S013,46767,51167,00:00:46:23,I didn't ask if the bus was on time.,定刻に来たかなんて聞いていない,Otobüsün vaktinde gelip gelmediğini sormadım.,Eu não perguntei se o ônibus estava no horário.,Aku tidak tanya apakah bus ini datang tepat waktu.,버스가 제시간에 왔는지 물은 게 아니야.,Otobüsün vaktinde gelip gelmediğini sormadım.
L014,S014,51167,56400,00:00:51:05,I had to wait at the bus stop for over ten minutes.,バス停で10分以上待たされた,Otobüs durağında on dakikadan fazla beklemek zorunda kaldım.,Tive que esperar no ponto de ônibus por mais de dez minutos.,Aku harus menunggu di halte lebih dari sepuluh menit.,버스 정류장에서 10분 넘게 기다렸다고.,Otobüs durağında on dakikadan fazla beklemek zorunda kaldım.
L015,S015,56400,63000,00:00:56:12,We're leaving. Please take a seat.,発車します 席にお座りください,Kalkıyoruz. Lütfen bir yere oturun.,"Vamos sair. Por favor, sente-se.",Kita berangkat. Silakan duduk.,출발하겠습니다. 자리에 앉아 주세요.,Kalkıyoruz. Lütfen bir yere oturun.
L016,S016,63000,66167,00:01:03:00,What kind of seat is this?,なんだこの椅子は,Bu nasıl koltuk böyle?,Que tipo de assento é esse?,Kursi macam apa ini?,이게 무슨 의자야?,Bu nasıl koltuk böyle?
L017,S017,66167,69233,00:01:06:05,This seat is so hard.,この椅子はとても硬い,Bu koltuk çok sert.,Esse banco é muito duro.,Kursi ini keras sekali.,이 의자는 너무 딱딱해.,Bu koltuk çok sert.
L018,S018,69233,72667,00:01:09:07,No respect for old people.,老人への配慮が足りない,Yaşlılara hiç saygı yok.,Não há respeito pelos idosos.,Tidak ada perhatian sama sekali untuk orang tua.,노인에 대한 배려가 부족하군.,Yaşlılara hiç saygı yok.
L019,S019,72667,77000,00:01:12:20,Are you trying to break my back before my shift?,出勤前に腰を壊す気か,Vardiyam başlamadan önce belimi bozmak mı istiyorsun?,Você está tentando acabar com a minha coluna antes do meu turno?,Apa kamu mau merusak pinggangku sebelum aku masuk kerja?,출근하기도 전에 내 허리를 망가뜨릴 셈이야?,Vardiyam başlamadan önce belimi bozmak mı istiyorsun?
L020,S020,77000,79567,00:01:17:00,"Hey, don't look at me.",おい こっちを見るな,"Hey, bana bakma.","Ei, não olha para mim.","Hei, jangan lihat ke arahku.","야, 이쪽 보지 마.","Hey, bana bakma."
L021,S021,79567,81400,00:01:19:17,Sorry.,すみません,Özür dilerim.,Desculpe.,Maaf.,죄송합니다.,Özür dilerim.
L022,S022,81400,84400,00:01:21:12,You were looking at me.,今俺を見ただろ,Bana baktın az önce.,Você estava olhando para mim.,"Tadi kamu lihat aku, kan.",방금 나 봤지?,Bana baktın az önce.
L023,S023,84400,87267,00:01:24:12,You were speaking loudly.,声が大きかったので,Çok yüksek sesle konuşuyordunuz.,É que o senhor estava falando alto.,Karena Anda bicara terlalu keras.,목소리가 너무 크셔서요.,Çok yüksek sesle konuşuyordunuz.
L024,S024,87267,90933,00:01:27:08,I'm not here for you to stare at.,俺は見世物じゃない,Ben bakılacak bir şey değilim.,Eu não estou aqui para você ficar me encarando.,Aku ini bukan tontonan buat kamu lihat-lihat.,난 네가 구경하라고 있는 사람이 아니야.,Ben bakılacak bir şey değilim.
L025,S025,90933,99967,00:01:30:28,"If you look again, I'll complain even louder.",次に見たらもっと大きな声で文句を言うぞ,Bir daha bakarsan daha da yüksek sesle şikâyet ederim.,"Se olhar de novo, vou reclamar ainda mais alto.","Kalau kamu lihat lagi, aku akan mengeluh lebih keras lagi.",다음에 또 보면 더 큰 소리로 불평할 거다.,Bir daha bakarsan daha da yüksek sesle şikâyet ederim.
L026,S026,99967,101900,00:01:39:29,What?,なんだ,Ne?,O quê?,Apa?,뭐?,Ne?
L027,S027,101900,105733,00:01:41:27,Crying won't solve anything.,泣いて解決すると思うな,Ağlamak hiçbir şeyi çözmez.,Chorar não vai resolver nada.,Menangis tidak akan menyelesaikan apa pun.,운다고 해서 해결되는 건 없어.,Ağlamak hiçbir şeyi çözmez.
L028,S028,105733,109733,00:01:45:22,Do you think crying makes people help you?,泣けば誰かが助けてくれると思っているのか？,Ağlayınca insanların sana yardım edeceğini mi sanıyorsun?,Você acha que chorar faz alguém querer te ajudar?,"Apa kamu pikir kalau menangis, orang akan menolongmu?",울면 누가 도와줄 거라고 생각하냐?,Ağlayınca insanların sana yardım edeceğini mi sanıyorsun?
L029,S029,109733,111967,00:01:49:22,How naive.,甘いな,Ne kadar safsın.,Como você é ingênuo.,Naif sekali.,참 순진하군.,Ne kadar safsın.
L030,S030,111967,115100,00:01:51:29,I want to cry too.,俺だって泣きたいんだ,Ben de ağlamak istiyorum.,Eu também quero chorar.,Aku juga ingin menangis.,나도 울고 싶다.,Ben de ağlamak istiyorum.
L031,S031,115100,117000,00:01:55:03,Waaaah!,うわあああ,Vaaaah!,Uaaah!,Waaaah!,우아아아!,Vaaaah!
L032,S032,117000,119833,00:01:57:00,I don't want to go to work!,バイトに行きたくない,İşe gitmek istemiyorum!,Eu não quero ir trabalhar!,Aku tidak mau pergi kerja!,알바하러 가기 싫어!,İşe gitmek istemiyorum!
L033,S033,119833,122500,00:01:59:25,But I want money!,でも金は欲しい,Ama para istiyorum!,Mas eu quero dinheiro!,Tapi aku mau uang!,그래도 돈은 갖고 싶어!,Ama para istiyorum!
L034,S034,122500,125733,00:02:02:15,Somebody give me money!,誰か俺に金をよこせ,Biri bana para versin!,Alguém me dê dinheiro!,Seseorang beri aku uang!,누가 나한테 돈 좀 줘!,Biri bana para versin!
L035,S035,125733,128267,00:02:05:22,Please be quiet.,お静かに,Lütfen sessiz olun.,"Por favor, faça silêncio.",Tolong tenang.,조용히 해 주세요.,Lütfen sessiz olun.
L036,S036,128267,132833,00:02:08:08,Sorry. I lost control for a moment.,失礼 少し取り乱した,Özür dilerim. Bir an kendimi kaybettim.,Desculpe. Eu perdi o controle por um momento.,Maaf. Aku sempat kehilangan kendali.,실례. 잠깐 감정이 격해졌어.,Özür dilerim. Bir an kendimi kaybettim.
