line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,0,6267,00:00:00:00,Young people were posting what they were doing right now on social media.,若者たちは今の自分をすぐにSNSへ投稿していた,Los jóvenes publicaban en redes sociales lo que estaban haciendo en ese momento.,Os jovens estavam postando nas redes sociais o que estavam fazendo naquele exato momento.,Anak-anak muda sedang mengunggah apa yang mereka lakukan saat itu juga ke media sosial.,젊은이들은 지금의 자신을 바로 SNS에 올리고 있었다.,Gençler o anda ne yaptıklarını hemen sosyal medyada paylaşıyordu.
L002,S002,6267,11833,00:00:06:08,"When they got a notification, they took a photo right away.",通知が来たらすぐに写真を撮る,"Cuando recibían una notificación, se sacaban una foto de inmediato.","Quando recebiam uma notificação, tiravam uma foto na mesma hora.","Saat mereka mendapat notifikasi, mereka langsung mengambil foto.",알림이 오면 바로 사진을 찍었다.,Bildirim gelince hemen bir fotoğraf çekiyorlardı.
L003,S003,11833,16067,00:00:11:25,No filters. No preparation.,加工も準備もない,Sin filtros. Sin preparación.,Sem filtros. Sem preparação.,Tanpa filter. Tanpa persiapan.,보정도 없고 준비도 없다.,Filtre yok. Hazırlık yok.
L004,S004,16067,20100,00:00:16:02,"Apparently, that was being real.",それがリアルらしい,"Al parecer, eso era ser real.","Ao que parece, isso era ser real.","Katanya, itulah yang disebut menjadi nyata.",그게 리얼이라는 모양이었다.,Anlaşılan buna gerçek olmak deniyordu.
L005,S005,20100,25900,00:00:20:03,John saw this and thought young people wanted to show everything.,ジョンはそれを見て最近の若者は何でも見せたがると思った,John vio eso y pensó que los jóvenes querían mostrarlo todo.,John viu isso e pensou que os jovens queriam mostrar tudo.,John melihat itu dan berpikir bahwa anak-anak muda ingin menunjukkan segalanya.,존은 그걸 보고 요즘 젊은이들은 뭐든 다 보여 주고 싶어 한다고 생각했다.,John bunu gördü ve gençlerin her şeyi göstermek istediğini düşündü.
L006,S006,25900,29133,00:00:25:27,He made fun of them for it.,そしてそんな若者たちをバカにしていた,Y se burlaba de esos jóvenes por eso.,E zombava deles por isso.,Dan dia mengejek mereka karena itu.,그리고 그런 젊은이들을 비웃고 있었다.,Ve bu yüzden onlarla dalga geçiyordu.
L007,S007,29133,32567,00:00:29:04,But he was a little curious.,しかし少しだけ気になっていた,Pero sentía un poco de curiosidad.,Mas ele estava um pouco curioso.,Tetapi dia sedikit penasaran.,하지만 조금은 신경이 쓰였다.,Ama biraz merak etmişti.
L008,S008,32567,36300,00:00:32:17,John slowly looked at his phone.,ジョンはゆっくりとスマホを見つめた,John miró lentamente su teléfono.,John olhou devagar para o celular.,John perlahan menatap ponselnya.,존은 천천히 스마트폰을 바라보았다.,John yavaşça telefonuna baktı.
L009,S009,36300,41700,00:00:36:09,Then he thought his own real life might be worth showing too.,そして自分のリアルにも需要があるはずだと思った,Entonces pensó que su propia vida real también podría valer la pena mostrarla.,Então pensou que a vida real dele também talvez valesse a pena mostrar.,Lalu dia berpikir bahwa kehidupan nyatanya sendiri mungkin juga layak untuk ditunjukkan.,그리고 자기의 리얼한 삶에도 분명 수요가 있을 거라고 생각했다.,Sonra kendi gerçek hayatının da gösterilmeye değer olabileceğini düşündü.
L010,S010,41700,47300,00:00:41:21,He decided to show young people his own version of real life.,彼は若者に自分のリアルを見せてやろうと考えた,Decidió mostrarles a los jóvenes su propia versión de la vida real.,Ele decidiu mostrar aos jovens a sua própria versão da vida real.,Dia memutuskan untuk menunjukkan kepada anak-anak muda versi kehidupan nyata miliknya sendiri.,그는 젊은이들에게 자기만의 리얼을 보여 주기로 했다.,Gençlere kendi gerçek hayat versiyonunu göstermeye karar verdi.
