line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,3000,6400,00:00:03:00,I start working here today.,俺は今日からここで働く,Hoy empiezo a trabajar aquí.,Eu começo a trabalhar aqui hoje.,Mulai hari ini aku kerja di sini.,나는 오늘부터 여기서 일한다.,Bugün burada çalışmaya başlıyorum.
L002,S002,6400,10933,00:00:06:12,Nice to meet you. Let me explain the rules.,よろしく 早速ルールを説明するわ,Mucho gusto. Déjame explicarte las reglas.,Prazer. Deixa eu te explicar as regras.,Senang bertemu denganmu. Biar kujelaskan aturannya.,잘 부탁해. 바로 규칙을 설명할게.,Memnun oldum. Kuralları hemen açıklayayım.
L003,S003,10933,14467,00:00:10:28,I like to do things my way.,俺は自由に働きたいタイプだ,A mí me gusta trabajar a mi manera.,Eu sou do tipo que gosta de trabalhar do meu jeito.,Aku tipe orang yang suka bekerja dengan caraku sendiri.,나는 내 방식대로 일하고 싶은 타입이다.,Ben işleri kendi bildiğim gibi yapmayı severim.
L004,S004,14467,18133,00:00:14:14,"First, speak politely to customers.",まず お客様には丁寧に話すこと,"Primero, habla con cortesía a los clientes.","Primeiro, fale com os clientes de forma educada.","Pertama, bicara dengan sopan kepada pelanggan.",먼저 손님에게는 공손하게 말할 것.,Öncelikle müşterilerle kibarca konuş.
L005,S005,18133,22467,00:00:18:04,"Next, serve customers with a smile.",次に 笑顔で接客すること,"Luego, atiende a los clientes con una sonrisa.","Depois, atenda os clientes com um sorriso.","Berikutnya, layani pelanggan dengan senyuman.",다음으로 웃는 얼굴로 손님을 응대할 것.,Sonra müşterilere gülümseyerek hizmet et.
L006,S006,22467,26800,00:00:22:14,My smile has value. It costs extra.,俺の笑顔には価値がある 有料だ,Mi sonrisa tiene valor. Cuesta extra.,O meu sorriso tem valor. É cobrado à parte.,Senyumku ada nilainya. Itu berbayar.,내 미소에는 가치가 있다. 유료다.,Benim gülümsememin bir değeri var. Ekstra ücrete tabi.
L007,S007,26800,29567,00:00:26:24,Please do it for free.,無料でお願い,"Por favor, hazlo gratis.","Por favor, faça isso de graça.",Tolong lakukan itu gratis.,무료로 부탁해.,Lütfen bunu bedava yap.
L008,S008,29567,32333,00:00:29:17,Take orders correctly.,注文は正確に聞くこと,Toma los pedidos correctamente.,Anote os pedidos corretamente.,Dengarkan pesanan dengan benar.,주문은 정확하게 들을 것.,Siparişleri doğru al.
L009,S009,32333,37067,00:00:32:10,"If you are not sure, ask another staff member.",わからないことは他のスタッフに聞くこと,"Si no estás seguro, pregúntale a otro miembro del personal.","Se não souber alguma coisa, pergunte a outro funcionário.","Kalau tidak yakin, tanyakan pada staf lain.",모르는 것은 다른 직원에게 물어볼 것.,"Eğer emin değilsen, başka bir personele sor."
L010,S010,37067,40267,00:00:37:02,I hate asking people.,俺は人に聞くのが嫌いだ,Odio pedir ayuda.,Eu odeio perguntar aos outros.,Aku benci bertanya pada orang.,나는 남에게 묻는 게 싫다.,İnsanlara soru sormaktan hoşlanmam.
L011,S011,40267,43200,00:00:40:08,Then don't make mistakes.,じゃあ間違えないで,Entonces no te equivoques.,Então não erre.,Kalau begitu jangan salah.,그럼 틀리지 마.,O zaman hata yapma.
L012,S012,43200,46633,00:00:43:06,People grow from mistakes.,人は間違いから成長するんだ,La gente crece a partir de sus errores.,As pessoas crescem com os erros.,Orang berkembang dari kesalahan.,사람은 실수로부터 성장하는 거야.,İnsanlar hatalarından büyür.
