line_id,scene_id,start_ms,end_ms,start_tc,en,ja,es,pt,id,ko,tr
L001,S001,567,4733,00:00:00:17,"When people hear the name Steve Jobs,",スティーブ・ジョブズと聞くと、,"Cuando la gente escucha el nombre de Steve Jobs,","Quando as pessoas ouvem o nome Steve Jobs,","Ketika orang mendengar nama Steve Jobs,","사람들이 스티브 잡스라는 이름을 들으면,","İnsanlar Steve Jobs adını duyduklarında,"
L002,S001,4733,10667,00:00:04:22,"many of them may think of a successful man who created Apple.",Appleを作った成功者を思い浮かべるかもしれません。,"muchos de ellos pueden pensar en un hombre exitoso que creó Apple.","muitas delas podem pensar em um homem bem-sucedido que criou a Apple.","banyak dari mereka mungkin membayangkan seorang pria sukses yang menciptakan Apple.","많은 사람들은 Apple을 만든 성공한 사람을 떠올릴지도 모릅니다.","birçoğu Apple'ı kuran başarılı bir adamı düşünebilir."
L003,S002,10667,15733,00:00:10:20,"He was a famous person known all over the world.",世界中に知られた有名な人物です。,"Era una persona famosa conocida en todo el mundo.","Ele era uma pessoa famosa, conhecida no mundo inteiro.","Ia adalah tokoh terkenal yang dikenal di seluruh dunia.","그는 전 세계에 알려진 유명한 인물이었습니다.","O, dünyanın dört bir yanında tanınan ünlü bir insandı."
L004,S002,15733,21100,00:00:15:22,"He stood on big stages and created new things.",大きな舞台に立ち、新しいものを生み出した人です。,"Se paró en grandes escenarios y creó cosas nuevas.","Ele subiu a grandes palcos e criou coisas novas.","Ia berdiri di panggung-panggung besar dan menciptakan hal-hal baru.","그는 큰 무대에 서서 새로운 것들을 만들어 낸 사람이었습니다.","Büyük sahnelere çıktı ve yeni şeyler yarattı."
L005,S003,21100,25233,00:00:21:03,"But his life was not always smooth.",でも、彼の人生は、ずっと順調だったわけではありません。,"Pero su vida no siempre fue tranquila.","Mas a vida dele nem sempre foi tranquila.","Namun, hidupnya tidak selalu berjalan mulus.","하지만 그의 삶이 언제나 순조로웠던 것은 아닙니다.","Ama hayatı her zaman sorunsuz değildi."
L006,S003,25233,32567,00:00:25:07,"In fact, there was a time when he had to leave Apple, the company he had created.",実は彼は、自分が作った会社、Appleから離れることになった時期がありました。,"De hecho, hubo un tiempo en que tuvo que dejar Apple, la empresa que había creado.","Na verdade, houve uma época em que ele teve de deixar a Apple, a empresa que havia criado.","Sebenarnya, ada masa ketika ia harus meninggalkan Apple, perusahaan yang telah ia dirikan.","사실 그는 자신이 만든 회사인 Apple을 떠나야 했던 시기가 있었습니다.","Aslında, kendi kurduğu şirket olan Apple'dan ayrılmak zorunda kaldığı bir dönem vardı."
L007,S004,32567,38100,00:00:32:17,"This is not just a story about a famous successful man.",これは、ただ有名な成功者を紹介する話ではありません。,"Esta no es solo una historia sobre un hombre famoso y exitoso.","Esta não é apenas uma história sobre um homem famoso e bem-sucedido.","Ini bukan sekadar kisah tentang seorang pria terkenal yang sukses.","이것은 단지 유명한 성공한 사람을 소개하는 이야기가 아닙니다.","Bu, sadece ünlü ve başarılı bir adamı anlatan bir hikâye değildir."
L008,S004,38100,47400,00:00:38:03,"It is a story about a man who lost his place, but still did not stop creating and moved forward again.",一度、自分の居場所を失った人が、それでも作ることをやめず、もう一度前に進んでいく話です。,"Es la historia de un hombre que perdió su lugar, pero aun así no dejó de crear y volvió a avanzar.","É a história de um homem que perdeu o seu lugar, mas, mesmo assim, não parou de criar e voltou a seguir em frente.","Ini adalah kisah tentang seorang pria yang kehilangan tempatnya, tetapi tetap tidak berhenti berkarya dan kembali melangkah maju.","한때 자신의 자리를 잃은 한 사람이, 그럼에도 만드는 일을 멈추지 않고 다시 앞으로 나아가는 이야기입니다.","Bu, bir kez kendi yerini kaybeden ama yine de üretmeyi bırakmayıp yeniden ileriye yürüyen bir adamın hikâyesidir."
L009,S005,47400,54367,00:00:47:12,"There was a small beginning, a great success, and then a great loss.",小さな始まりがあり、大きな成功があり、そして大きな喪失がありました。,"Hubo un pequeño comienzo, un gran éxito y luego una gran pérdida.","Houve um pequeno começo, um grande sucesso e, depois, uma grande perda.","Ada awal yang kecil, keberhasilan yang besar, lalu kehilangan yang besar pula.","작은 시작이 있었고, 큰 성공이 있었으며, 그리고 큰 상실이 있었습니다.","Küçük bir başlangıç vardı, büyük bir başarı vardı ve ardından büyük bir kayıp yaşandı."
L010,S005,54367,58933,00:00:54:11,"That beginning was born in a quiet place.",その始まりは、静かな場所で生まれました。,"Ese comienzo nació en un lugar tranquilo.","Esse começo nasceu em um lugar silencioso.","Awal itu lahir di tempat yang tenang.","그 시작은 조용한 곳에서 태어났습니다.","O başlangıç, sessiz bir yerde doğdu."
